Брест 395
Вильнюс 543
Витебск 553
Волгоград 1155
Воронеж 754
Даугавпилс 641
Донецк 709
Житомир 0
Казань 1496
Калининград 740
Каунас 607
Киев 131
Кишинев 362
Минск 411
Москва 854
Мурманск 2094
Ниж.Новгород 1218
Одесса 446
Орел 592
Рига 801
С.Петербург 1081
Самара 1507
Симферополь 703
Таллинн 1050
Уфа 1899
Харьков 542
Ярославль 1097
